學生代碼,學校代碼,教師代碼_國文,教師代碼_英文,教師代碼_數學,班級代碼_國文,班級代碼_英文,班級代碼_數學,班級代碼,每周作業頻率_國文,每周作業頻率標準化_國文,每周作業頻率_英文,每周作業頻率標準化_英文,每周作業頻率_數學,每周作業頻率標準化_數學,作業頻率標準化平均值,作業類型_做習題_國文,做習題標準化_國文,作業類型_作文練習_國文,作文練習標準化_國文,作業類型_剪報或蒐集資料_國文,剪報或蒐集資料標準化_國文,作業類型_聽演講、參觀展覽或看表演_國文,聽演講、參觀展覽或看表演標準化_國文,作業類型_分組專題活動_國文,分組專題活動標準化_國文,作業類型_做習題_英文,做習題標準化_英文,作業類型_作文練習_英文,作文練習標準化_英文,作業類型_剪報或蒐集資料_英文,剪報或蒐集資料標準化_英文,作業類型_聽演講、參觀展覽或看表演_英文,聽演講、參觀展覽或看表演標準化_英文,作業類型_分組專題活動_英文,分組專題活動標準化_英文,作業類型_做習題_數學,做習題標準化_數學,作業類型_作文練習_數學,作文練習標準化_數學,作業類型_剪報或蒐集資料_數學,剪報或蒐集資料標準化_數學,作業類型_聽演講、參觀展覽或看表演_數學,聽演講、參觀展覽或看表演標準化_數學,作業類型_分組專題活動_數學,分組專題活動標準化_數學,作業經常次數_國文,作業經常次數_英文,作業經常次數_數學,綜合分析能力測驗答對題數,一般分析能力測驗答對題數,數學分析能力測驗答對題數,跟得上進度_國文,用功程度_國文,作業表現_國文,跟得上進度_英文,用功程度_英文,作業表現_英文,跟得上進度_數學,用功程度_數學,作業表現_數學
14755,342,3,2,5,2216,2216,2216,2216,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,2,0.66,4,0,3,0.33,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,0,1,38,14,20,3,2,3,2,2,3,2,2,4
14801,342,8,2,7,2596,2596,2596,2596,1,1.5,1,1.5,3,5.5,2.833333333,1,1,1,1,2,0.66,2,0.66,2,0.66,2,0.66,4,0,3,0.33,4,0,3,0.33,1,1,97,,97,,97,,97,,2,0,1,54,19,24,2,2,4,2,2,4,2,2,4
15656,342,8,2,7,2596,2596,2596,2596,1,1.5,1,1.5,3,5.5,2.833333333,1,1,1,1,2,0.66,2,0.66,2,0.66,2,0.66,4,0,3,0.33,4,0,3,0.33,1,1,97,,97,,97,,97,,2,0,1,57,22,25,2,3,3,2,2,3,2,2,4
16063,342,8,2,7,2596,2596,2596,2596,1,1.5,1,1.5,3,5.5,2.833333333,1,1,1,1,2,0.66,2,0.66,2,0.66,2,0.66,4,0,3,0.33,4,0,3,0.33,1,1,97,,97,,97,,97,,2,0,1,54,20,25,2,2,4,1,1,4,2,2,4
16184,342,3,2,5,2216,2216,2216,2216,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,2,0.66,4,0,3,0.33,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,0,1,50,19,22,2,2,3,2,2,4,3,3,4
17154,342,8,2,7,2596,2596,2596,2596,1,1.5,1,1.5,3,5.5,2.833333333,1,1,1,1,2,0.66,2,0.66,2,0.66,2,0.66,4,0,3,0.33,4,0,3,0.33,1,1,97,,97,,97,,97,,2,0,1,44,13,24,3,3,2,2,2,2,2,2,3
17808,342,1,4,7,3312,3312,3312,3312,1,1.5,1,1.5,3,5.5,2.833333333,1,1,1,1,2,0.66,3,0.33,3,0.33,2,0.66,3,0.33,3,0.33,4,0,3,0.33,1,1,97,,97,,97,,97,,2,0,1,49,18,25,2,2,3,2,2,4,3,2,4
19259,342,3,2,5,2216,2216,2216,2216,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,2,0.66,4,0,3,0.33,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,0,1,45,16,22,2,2,3,2,2,3,2,2,4
19452,342,3,2,5,2216,2216,2216,2216,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,2,0.66,4,0,3,0.33,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,0,1,45,16,22,2,1,3,1,1,4,1,1,4
403,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,17,4,8,2,2,4,2,2,4,2,2,4
670,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,40,15,18,2,2,4,2,2,4,2,1,4
1094,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,2,3,3,3,3,4
1167,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,13,5,5,3,3,3,3,3,3,4,4,2
1508,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,23,11,9,2,3,3,2,2,4,2,2,4
2349,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,16,6,9,3,4,2,3,3,3,4,4,1
2577,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,30,12,10,2,2,3,3,2,4,2,2,4
3197,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,17,5,5,2,2,4,4,4,3,3,3,3
3251,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,44,16,24,2,3,2,2,3,3,2,2,4
3668,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,27,4,13,2,3,3,2,2,4,2,2,4
3891,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,3,3,3,2,2,4
4031,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,19,4,11,3,4,3,3,3,4,2,2,4
4419,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,3,3,3,2,2,4
4834,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,2,2,2,2,1,4
4844,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,24,11,12,2,3,3,3,3,4,3,3,3
5381,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,35,11,13,2,2,4,2,2,3,2,2,3
6225,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,31,11,15,3,4,2,2,2,3,3,3,3
6979,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,26,10,15,2,2,3,2,2,4,2,2,4
7292,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,21,10,7,4,4,2,4,4,1,4,4,1
7759,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,23,8,11,3,3,2,3,3,4,2,2,3
8925,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,31,13,13,2,2,3,3,3,4,2,2,4
10250,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,19,7,8,3,3,3,3,3,3,4,3,1
10735,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,42,16,21,2,2,4,2,2,4,2,2,3
11211,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,3,3,2,2,2,4
11451,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,21,6,11,3,3,2,3,3,3,4,3,3
11825,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,17,7,5,3,4,2,4,4,1,4,4,1
12083,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,25,8,14,2,3,3,2,2,3,2,3,3
12420,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,1,1,4,2,1,4
12660,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,27,10,12,2,3,3,2,2,3,2,2,4
12710,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,2,2,4,2,1,4
12943,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,34,9,16,3,4,1,3,3,2,3,3,3
13031,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,30,12,13,3,4,1,2,3,3,2,3,3
13055,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,43,16,20,1,1,4,1,2,3,1,1,4
14053,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,12,4,0,4,4,1,3,4,1,4,4,1
14367,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,18,7,8,3,3,2,4,4,2,4,4,1
14372,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,13,5,5,2,2,4,3,3,3,3,3,3
14405,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,2,2,4,3,2,4
14446,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,2,2,3,3,2,4
14999,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,24,9,14,3,3,2,2,2,4,2,2,4
15017,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,25,8,10,2,2,4,2,2,4,2,2,4
15567,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,31,12,16,2,1,3,2,2,4,2,2,4
16657,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,21,11,11,2,3,3,3,3,2,4,4,1
16682,343,7,5,2,3762,3762,3762,3762,1,1.5,2,3.5,1,1.5,2.166666667,2,0.66,2,0.66,4,0,4,0,4,0,1,1,3,0.33,3,0.33,3,0.33,3,0.33,99,,1,1,5,,4,0,3,0.33,0,1,1,27,11,13,2,2,3,2,2,4,2,2,4
17735,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,1,2,4,2,1,4
18089,343,12,3,1,3783,3783,3783,3783,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,3,0.33,5,,5,,1,1,3,0.33,2,0.66,4,0,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,50,17,24,2,2,3,1,2,4,2,1,4
18425,343,9,10,6,2069,2069,2069,2069,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,5,,4,0,5,,5,,1,1,5,,4,0,4,0,3,0.33,1,0,1,17,10,7,3,4,2,4,4,2,4,4,1
18899,343,,11,4,,3111,3111,3111,,,2,3.5,2,3.5,3.5,,,,,,,,,,,1,1,5,,4,0,4,0,4,0,2,0.66,5,,3,0.33,3,0.33,2,0.66,,1,0,,,,99,99,99,3,3,3,3,2,4
2,344,12,15,4,4069,4400,4822,3433,1,1.5,1,1.5,1,1.5,1.5,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,1,1,1,26,7,13,2,2,4,2,2,4,2,3,4
705,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,33,15,17,2,3,4,2,3,3,2,1,4
1976,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,19,10,7,3,3,3,3,2,4,4,4,1
2097,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,21,8,9,3,3,4,2,3,4,3,3,4
2204,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,14,4,7,4,4,1,2,3,3,4,4,1
2801,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,32,12,11,2,2,3,2,3,3,2,2,4
3064,344,12,15,4,4069,4400,4822,3433,1,1.5,1,1.5,1,1.5,1.5,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,1,1,1,12,7,4,4,4,1,4,4,2,4,4,3
3732,344,13,2,,4172,4303,,2527,1,1.5,6,0,,,0.75,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,5,,5,,,,,,,,,,,,0,1,,30,9,16,2,2,4,2,3,4,99,99,99
3754,344,12,15,4,4069,4400,4822,3433,1,1.5,1,1.5,1,1.5,1.5,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,1,1,1,22,8,12,3,4,2,3,3,3,4,4,3
4027,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,37,14,13,2,2,4,2,2,4,2,2,4
4492,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,55,20,26,2,1,4,3,2,3,2,3,4
5537,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,26,9,12,2,2,4,2,3,4,2,1,4
5842,344,14,,,4112,,,3433,1,1.5,,,,,1.5,1,1,2,0.66,3,0.33,2,0.66,2,0.66,,,,,,,,,,,,,,,,,,,,,1,,,39,15,22,3,3,3,99,99,99,99,99,99
6144,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,23,5,12,2,2,3,2,2,4,3,3,4
6362,344,14,2,3,4112,4303,4839,3433,1,1.5,6,0,4,7.5,3,1,1,2,0.66,3,0.33,2,0.66,2,0.66,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,28,8,11,2,2,4,2,2,3,2,3,4
6576,344,8,15,7,4159,4400,4708,3015,1,1.5,1,1.5,1,1.5,1.5,1,1,2,0.66,3,0.33,4,0,3,0.33,1,1,3,0.33,3,0.33,4,0,4,0,2,0.66,5,,5,,5,,5,,1,1,0,31,14,12,2,2,4,2,2,3,2,3,4
6886,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,23,13,9,2,2,4,3,3,4,4,3,4
6942,344,5,6,3,4113,4498,4839,3015,3,5.5,1,1.5,4,7.5,4.833333333,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,47,17,21,2,3,3,2,2,3,3,,4
7456,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,14,8,5,4,4,2,4,3,3,4,4,3
7648,344,8,15,7,4159,4400,4708,3015,1,1.5,1,1.5,1,1.5,1.5,1,1,2,0.66,3,0.33,4,0,3,0.33,1,1,3,0.33,3,0.33,4,0,4,0,2,0.66,5,,5,,5,,5,,1,1,0,19,6,9,2,3,4,4,4,3,4,4,1
7661,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,16,6,9,2,4,3,3,3,3,3,3,4
7727,344,5,6,3,4113,4498,4839,3015,3,5.5,1,1.5,4,7.5,4.833333333,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,37,15,20,3,3,3,2,3,4,2,1,4
7814,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,26,10,10,2,2,4,2,2,4,4,3,4
8494,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,33,12,16,2,1,4,2,2,3,2,1,4
8552,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,25,11,12,2,3,1,4,4,2,3,2,2
9046,344,14,2,3,4112,4303,4839,3433,1,1.5,6,0,4,7.5,3,1,1,2,0.66,3,0.33,2,0.66,2,0.66,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,40,10,22,2,2,4,2,3,2,,4,3
9410,344,14,2,3,4112,4303,4839,3433,1,1.5,6,0,4,7.5,3,1,1,2,0.66,3,0.33,2,0.66,2,0.66,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,28,11,15,2,2,4,2,3,3,4,2,2
9579,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,26,7,15,2,2,4,4,3,3,2,1,4
9628,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,18,6,4,2,2,3,3,3,4,4,3,4
9825,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,28,8,11,2,3,4,3,3,2,1,3,3
10140,344,8,15,7,4159,4400,4708,3015,1,1.5,1,1.5,1,1.5,1.5,1,1,2,0.66,3,0.33,4,0,3,0.33,1,1,3,0.33,3,0.33,4,0,4,0,2,0.66,5,,5,,5,,5,,1,1,0,29,9,11,1,1,4,2,2,4,2,3,4
10798,344,12,15,4,4069,4400,4822,3433,1,1.5,1,1.5,1,1.5,1.5,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,1,1,1,39,15,20,2,2,4,2,3,3,2,2,4
10911,344,5,6,3,4113,4498,4839,3015,3,5.5,1,1.5,4,7.5,4.833333333,1,1,3,0.33,2,0.66,3,0.33,3,0.33,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,33,11,17,3,3,3,3,3,4,1,,
11924,344,13,15,10,4172,4400,4754,2527,1,1.5,1,1.5,1,1.5,1.5,2,0.66,2,0.66,3,0.33,5,,5,,1,1,3,0.33,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,0,1,1,15,8,7,2,4,2,3,4,3,4,4,3
12580,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,42,12,15,2,1,4,2,3,4,2,3,2
12607,344,14,2,3,4112,4303,4839,3433,1,1.5,6,0,4,7.5,3,1,1,2,0.66,3,0.33,2,0.66,2,0.66,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,12,4,2,4,4,2,2,3,3,1,4,
13408,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,31,15,14,2,2,4,2,2,3,2,1,4
13528,344,9,2,3,4074,4303,4839,2521,1,1.5,6,0,4,7.5,3,1,1,3,0.33,4,0,4,0,4,0,1,1,3,0.33,3,0.33,5,,5,,1,1,4,0,4,0,2,0.66,4,0,1,1,1,35,13,16,2,2,4,2,3,3,2,1,4
